algorithm,policy,width_profile,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QAOA,asap,W8_M8_F4,15,5,97.368421,9.844558,4.241444,61.445793,-222.447444,9.844566,3.608491,0.073113,15,0,0,6.1e-05
QAOA,asap,W8_M8_F5,15,5,97.368421,19.093835,7.207206,94.117657,-52.438036,19.093864,4.157609,0.102439,15,0,0,6.1e-05
QAOA,asap,W8_M8_F6,15,5,97.368421,31.007768,11.002434,124.137932,20.893647,31.007833,4.526627,0.127321,15,0,0,6.1e-05
QAOA,asap,W8_M8_F7,15,5,97.368421,41.880338,15.384617,156.862731,74.89545,41.880197,4.861446,0.166667,15,0,0,6.1e-05
QAOA,asap,W8_M8_F8,15,5,97.368421,56.585383,21.138226,186.666713,94.24979,56.58523,5.028037,0.178683,15,0,0,6.1e-05
QAOA,ff_rate_matched,W8_M8_F4,15,5,97.368421,9.844558,4.159887,61.445793,87.116073,9.844566,3.608491,0.049528,15,0,0,6.1e-05
QAOA,ff_rate_matched,W8_M8_F5,15,5,97.368421,19.741097,7.135559,97.058868,92.213752,19.741068,4.135135,0.100244,15,0,0,6.1e-05
QAOA,ff_rate_matched,W8_M8_F6,15,5,97.368421,31.617654,10.635693,124.137932,93.986229,31.617771,4.50838,0.134897,15,0,0,6.1e-05
QAOA,ff_rate_matched,W8_M8_F7,15,5,97.368421,42.30769,15.099719,156.862731,94.863301,42.307578,4.846847,0.163435,15,0,0,6.1e-05
QAOA,ff_rate_matched,W8_M8_F8,15,5,97.368421,56.585383,21.138226,186.666713,94.24979,56.58523,5.028037,0.178683,15,0,0,6.1e-05
QAOA,stall_aware_shifted_refined,W8_M8_F4,15,5,97.368421,1.036278,0.0,55.421692,0.0,1.036125,3.923077,0.007692,11,4,0,0.000977
QAOA,stall_aware_shifted_refined,W8_M8_F5,15,5,97.368421,11.656435,1.121305,92.537349,84.597935,11.656485,4.434066,0.063037,14,1,0,0.000122
QAOA,stall_aware_shifted_refined,W8_M8_F6,15,5,97.368421,14.338236,2.078245,128.571411,86.154201,14.338214,5.189711,0.055016,15,0,0,6.1e-05
QAOA,stall_aware_shifted_refined,W8_M8_F7,15,5,97.368421,31.623927,4.55841,161.224493,91.435322,31.623951,5.24026,0.136364,15,0,0,6.1e-05
QAOA,stall_aware_shifted_refined,W8_M8_F8,15,5,97.368421,50.2439,7.317078,197.674425,91.757371,50.243958,5.24026,0.24026,15,0,0,6.1e-05
QFT,asap,W8_M8_F4,10,5,90.652286,12.981151,4.247333,22.29301,-611.65405,12.98109,3.516139,0.065316,10,0,0,0.001953
QFT,asap,W8_M8_F5,10,5,90.652286,20.723337,6.858938,35.826799,-245.131841,20.72339,4.118076,0.12334,10,0,0,0.001953
QFT,asap,W8_M8_F6,10,5,90.652286,29.990681,9.981349,51.162812,-87.465125,29.9906,4.603524,0.155517,10,0,0,0.001953
QFT,asap,W8_M8_F7,10,5,90.652286,41.599753,13.557483,70.430124,13.30827,41.599789,4.983294,0.196787,10,0,0,0.001953
QFT,asap,W8_M8_F8,10,5,90.652286,54.21539,17.632562,90.361461,91.083311,54.215305,5.295178,0.223285,10,0,0,0.001953
QFT,ff_rate_matched,W8_M8_F4,10,5,90.652286,12.981151,4.247333,22.29301,89.161353,12.98109,3.516139,0.061222,10,0,0,0.001953
QFT,ff_rate_matched,W8_M8_F5,10,5,90.652286,20.723337,6.858938,35.826799,91.617371,20.72339,4.118076,0.118441,10,0,0,0.001953
QFT,ff_rate_matched,W8_M8_F6,10,5,90.652286,29.990681,9.981349,51.869159,92.361373,29.9906,4.603524,0.153559,10,0,0,0.001953
QFT,ff_rate_matched,W8_M8_F7,10,5,90.652286,41.599753,13.557483,70.430124,91.258395,41.599789,4.986198,0.196787,10,0,0,0.001953
QFT,ff_rate_matched,W8_M8_F8,10,5,90.652286,54.21539,17.632562,90.361461,91.083311,54.215305,5.295178,0.223285,10,0,0,0.001953
QFT,stall_aware_shifted_refined,W8_M8_F4,10,5,90.652286,11.695027,3.070176,21.543424,89.45906,11.695032,3.582661,0.046773,10,0,0,0.001953
QFT,stall_aware_shifted_refined,W8_M8_F5,10,5,90.652286,21.056027,5.477297,37.19999,91.711863,21.055999,4.164705,0.0772,10,0,0,0.001953
QFT,stall_aware_shifted_refined,W8_M8_F6,10,5,90.652286,30.494197,8.075117,54.066988,94.579585,30.494096,4.691866,0.112587,10,0,0,0.001953
QFT,stall_aware_shifted_refined,W8_M8_F7,10,5,90.652286,43.951639,11.597377,75.97767,95.495351,43.951602,5.069925,0.146054,10,0,0,0.001953
QFT,stall_aware_shifted_refined,W8_M8_F8,10,5,90.652286,57.119034,14.750008,100.0,96.687216,57.119008,5.434863,0.212866,10,0,0,0.001953
VQE,asap,W8_M8_F4,15,5,97.142857,4.892963,1.55793,23.880627,-1554.983041,4.893045,3.778426,0.026239,15,0,0,6.1e-05
VQE,asap,W8_M8_F5,15,5,97.142857,6.463896,2.065629,32.727272,-627.505425,6.464029,4.628571,0.042857,15,0,0,6.1e-05
VQE,asap,W8_M8_F6,15,5,97.142857,10.045665,3.206984,46.808521,-285.156548,10.045686,5.377593,0.049793,15,0,0,6.1e-05
VQE,asap,W8_M8_F7,15,5,97.142857,13.227511,4.244485,61.904754,-13.227938,13.227584,6.056075,0.074766,15,0,0,6.1e-05
VQE,asap,W8_M8_F8,15,5,97.142857,18.181809,5.825247,81.081061,86.070711,18.181829,6.646154,0.082051,15,0,0,6.1e-05
VQE,ff_rate_matched,W8_M8_F4,15,5,97.142857,4.281339,1.363187,20.895531,61.990891,4.281447,3.800587,0.02346,15,0,0,6.1e-05
VQE,ff_rate_matched,W8_M8_F5,15,5,97.142857,6.463896,2.065629,30.909062,74.48551,6.464029,4.628571,0.042857,15,0,0,6.1e-05
VQE,ff_rate_matched,W8_M8_F6,15,5,97.142857,10.045665,3.206984,44.68086,74.201257,10.045686,5.377593,0.049793,15,0,0,6.1e-05
VQE,ff_rate_matched,W8_M8_F7,15,5,97.142857,13.227511,4.244485,61.904754,80.455889,13.227584,6.056075,0.074766,15,0,0,6.1e-05
VQE,ff_rate_matched,W8_M8_F8,15,5,97.142857,18.181809,5.825247,81.081061,86.070711,18.181829,6.646154,0.082051,15,0,0,6.1e-05
VQE,stall_aware_shifted_refined,W8_M8_F4,15,5,97.142857,8.562705,2.23953,23.880627,84.49159,8.562732,3.650704,0.059155,15,0,0,6.1e-05
VQE,stall_aware_shifted_refined,W8_M8_F5,15,5,97.142857,13.308,4.00972,30.909062,83.81297,13.308095,4.348993,0.07047,15,0,0,6.1e-05
VQE,stall_aware_shifted_refined,W8_M8_F6,15,5,97.142857,19.178084,5.976664,42.553186,89.037353,19.178012,4.965517,0.088123,15,0,0,6.1e-05
VQE,stall_aware_shifted_refined,W8_M8_F7,15,5,97.142857,23.280421,7.640071,54.761884,87.671935,23.280439,5.562232,0.128755,15,0,0,6.1e-05
VQE,stall_aware_shifted_refined,W8_M8_F8,15,5,97.142857,0.0,0.0,72.972975,0.0,0.0,7.854545,0.012121,5,10,0,0.0625
