algorithm,policy,raw_saturation_bucket,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QAOA,asap,active,22,5,97.368421,48.472907,31.4433,63.589755,95.029124,48.47292,5.295427,0.162278,22,0,0,0.0
QAOA,asap,near_saturation,16,5,98.561151,17.868854,12.023927,20.377727,95.995239,17.868891,6.751043,0.072153,16,0,0,3.1e-05
QAOA,asap,underutilized,82,5,97.260274,26.754701,5.301207,112.941159,-101.498207,26.754666,3.322371,0.121114,82,0,0,0.0
QAOA,greedy_critical,active,15,5,97.368421,50.2439,40.952392,63.809514,95.993528,50.243958,5.24026,0.243506,15,0,0,6.1e-05
QAOA,greedy_critical,near_saturation,16,5,98.57635,9.105432,6.239998,14.831366,91.324174,9.105462,7.291362,0.054905,16,0,0,3.1e-05
QAOA,greedy_critical,saturated,7,5,98.561151,1.954387,0.821019,3.846158,0.0,1.954348,7.811502,0.001629,6,1,0,0.03125
QAOA,greedy_critical,underutilized,82,5,97.260274,22.876827,3.766031,109.523815,-169.753009,22.876772,3.408427,0.141387,82,0,0,0.0
QAOA,shifted_critical,active,15,5,97.368421,50.2439,40.952392,63.809514,95.939399,50.243958,5.24026,0.24026,15,0,0,6.1e-05
QAOA,shifted_critical,near_saturation,16,5,98.57635,9.105432,6.239998,14.831366,90.925403,9.105462,7.291362,0.052708,16,0,0,3.1e-05
QAOA,shifted_critical,saturated,7,5,98.561151,1.954387,0.821019,3.846158,0.0,1.954348,7.811502,0.001629,6,1,0,0.03125
QAOA,shifted_critical,underutilized,82,5,97.260274,22.876827,3.766031,109.523815,-161.870178,22.876772,3.412146,0.13792,82,0,0,0.0
QAOA,stall_aware_shifted,active,25,5,97.368421,39.069766,29.03208,56.107135,89.410462,39.069787,5.518395,0.177262,25,0,0,0.0
QAOA,stall_aware_shifted,near_saturation,13,5,98.561151,17.17011,11.661261,20.866096,88.510145,17.17004,6.7327,0.04235,13,0,0,0.000244
QAOA,stall_aware_shifted,underutilized,82,5,97.260274,25.16355,7.950839,98.156707,76.606781,25.163432,3.326353,0.120148,82,0,0,0.0
QAOA,stall_aware_shifted_refined,active,27,5,97.368421,39.069766,30.964449,56.499997,88.874205,39.069787,5.518395,0.135266,27,0,0,0.0
QAOA,stall_aware_shifted_refined,near_saturation,11,5,98.561151,17.965012,11.688318,20.487811,89.046694,17.965083,6.687332,0.050872,11,0,0,0.000977
QAOA,stall_aware_shifted_refined,underutilized,82,5,97.260274,27.254274,6.142521,94.999959,75.698875,27.254198,3.298219,0.120535,82,0,0,0.0
QFT,asap,active,10,5,90.652286,39.187145,27.628367,50.931674,93.049555,39.18712,5.594259,0.186947,10,0,0,0.001953
QFT,asap,near_saturation,15,5,90.39548,17.509251,9.950244,17.777788,93.003684,17.509231,6.679245,0.107966,15,0,0,6.1e-05
QFT,asap,underutilized,55,5,90.909091,22.222219,4.374996,90.361461,-324.7228,22.22225,3.715452,0.096104,55,0,0,0.0
QFT,greedy_critical,active,5,5,90.909091,51.282053,50.961543,51.282053,97.090846,51.282063,5.220339,0.220339,5,0,0,0.0625
QFT,greedy_critical,near_saturation,20,5,90.39548,14.750008,11.254855,19.235176,96.939987,14.750008,6.941176,0.081699,20,0,0,2e-06
QFT,greedy_critical,underutilized,55,5,90.909091,21.405753,4.12759,99.363075,-366.614808,21.405852,3.726316,0.092593,55,0,0,0.0
QFT,shifted_critical,active,5,5,90.909091,50.641033,50.641033,50.961543,97.046369,50.640986,5.242553,0.217021,5,0,0,0.0625
QFT,shifted_critical,near_saturation,20,5,90.39548,14.750008,11.254855,19.235176,97.057681,14.750008,6.941176,0.084967,20,0,0,2e-06
QFT,shifted_critical,underutilized,55,5,90.909091,21.086241,4.12759,99.363075,-365.388391,21.086451,3.726316,0.094737,55,0,0,0.0
QFT,stall_aware_shifted,active,10,5,90.652286,39.25746,27.817748,50.609761,84.018618,39.257377,5.52581,0.186171,10,0,0,0.001953
QFT,stall_aware_shifted,near_saturation,15,5,90.39548,16.405302,8.588958,17.396593,75.55709,16.405234,6.616822,0.095535,15,0,0,6.1e-05
QFT,stall_aware_shifted,underutilized,55,5,90.909091,24.437287,3.650985,85.798815,70.467274,24.43728,3.706806,0.118863,55,0,0,0.0
QFT,stall_aware_shifted_refined,active,10,5,90.652286,39.282168,29.066994,50.920244,82.167736,39.282122,5.456799,0.183235,10,0,0,0.001953
QFT,stall_aware_shifted_refined,near_saturation,15,5,90.39548,16.28467,9.057535,17.597099,72.70459,16.284637,6.609959,0.093911,15,0,0,6.1e-05
QFT,stall_aware_shifted_refined,underutilized,55,5,90.909091,23.028395,4.096833,87.499997,74.759256,23.028222,3.704651,0.116751,55,0,0,0.0
VQE,asap,active,10,5,95.238095,36.928997,28.143707,45.714287,77.419842,36.929057,5.537841,0.105095,10,0,0,0.001953
VQE,asap,near_saturation,30,5,97.777778,9.834089,5.825247,18.181809,85.78226,9.834095,7.211316,0.035956,30,0,0,0.0
VQE,asap,saturated,5,5,98.412698,3.307394,3.307394,3.307394,74.166999,3.307447,7.713748,0.007533,5,0,0,0.0625
VQE,asap,underutilized,75,5,97.142857,7.621967,2.4319,34.78262,-754.989018,7.621741,3.778426,0.050992,75,0,0,0.0
VQE,greedy_critical,active,15,5,93.333333,72.972975,37.142871,72.972975,65.40544,72.973,4.0,0.15625,15,0,0,6.1e-05
VQE,greedy_critical,near_saturation,5,5,97.142857,7.784431,7.784431,7.784431,73.054135,7.784444,7.2,0.066667,5,0,0,0.0625
VQE,greedy_critical,saturated,35,5,98.412698,0.0,0.0,0.0,0.0,0.0,7.937984,0.005814,0,35,0,1.0
VQE,greedy_critical,underutilized,65,5,97.142857,3.363908,1.226984,17.910474,-3352.908277,3.363934,3.83432,0.01341,65,0,0,0.0
VQE,shifted_critical,active,15,5,93.333333,72.972975,37.142871,72.972975,68.5504,72.973,4.0,0.171875,15,0,0,6.1e-05
VQE,shifted_critical,near_saturation,5,5,97.142857,7.784431,7.784431,7.784431,73.054135,7.784444,7.2,0.066667,5,0,0,0.0625
VQE,shifted_critical,saturated,35,5,98.412698,0.0,0.0,0.0,0.0,0.0,7.937984,0.005814,0,35,0,1.0
VQE,shifted_critical,underutilized,65,5,97.142857,3.363908,1.226984,17.910474,-3352.908277,3.363934,3.83432,0.01341,65,0,0,0.0
VQE,stall_aware_shifted,active,15,5,93.333333,72.972975,37.142871,72.972975,65.40544,72.973,4.0,0.15625,15,0,0,6.1e-05
VQE,stall_aware_shifted,near_saturation,15,5,97.142857,4.242414,4.242414,7.784431,65.253411,4.242456,7.534884,0.034884,15,0,0,6.1e-05
VQE,stall_aware_shifted,saturated,25,5,98.412698,0.583657,0.19418,0.968989,-0.180599,0.583644,7.922631,0.003876,25,0,0,0.0
VQE,stall_aware_shifted,underutilized,65,5,97.142857,0.920235,0.305804,11.940323,49.539398,0.920388,3.93921,0.012158,65,0,0,0.0
VQE,stall_aware_shifted_refined,active,15,5,93.333333,72.972975,37.142871,72.972975,65.40544,72.973,4.0,0.15625,15,0,0,6.1e-05
VQE,stall_aware_shifted_refined,near_saturation,15,5,97.142857,4.242414,4.242414,7.784431,65.253411,4.242456,7.534884,0.034884,15,0,0,6.1e-05
VQE,stall_aware_shifted_refined,saturated,25,5,98.412698,0.583657,0.19418,0.968989,-0.180599,0.583644,7.922631,0.003876,25,0,0,0.0
VQE,stall_aware_shifted_refined,underutilized,65,5,97.142857,0.920235,0.305804,11.940323,43.259138,0.920388,3.927273,0.012158,65,0,0,0.0
