algorithm,policy,latency_profile,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QAOA,asap,l1_l1,120,5,97.368421,5.060242,2.040823,32.926846,88.72191,5.060297,3.825,0.025494,120,0,0,0.0
QAOA,greedy_critical,l1_l1,120,5,97.368421,0.0,0.0,18.292672,0.0,0.0,3.975369,0.002597,59,61,0,0.0
QAOA,asap,l2_l2,120,5,97.368421,21.078438,8.012822,95.294057,91.271898,21.078425,3.311688,0.093074,120,0,0,0.0
QAOA,greedy_critical,l2_l2,120,5,97.368421,5.755397,1.719847,91.666679,75.595359,5.755452,3.788113,0.039627,96,24,0,0.0
QAOA,asap,mixed,240,5,97.368421,12.019212,4.407071,61.445793,89.833798,12.0193,3.608491,0.062232,240,0,0,0.0
QAOA,greedy_critical,mixed,240,5,97.368421,1.586984,0.0,55.421692,0.0,1.587035,3.936585,0.005181,144,96,0,0.0
QFT,asap,l1_l1,80,5,90.652286,10.812815,2.254216,11.878041,93.479526,10.8128,3.897248,0.028736,80,0,0,0.0
QFT,greedy_critical,l1_l1,80,5,90.652286,7.912114,1.065812,8.7097,78.972861,7.912088,3.932228,0.034843,80,0,0,0.0
QFT,asap,l2_l2,80,5,90.652286,31.27324,6.853567,35.849055,90.27823,31.273199,3.424073,0.18219,80,0,0,0.0
QFT,greedy_critical,l2_l2,80,5,90.652286,26.50593,5.072,29.807707,94.273411,26.505926,3.437517,0.151542,80,0,0,0.0
QFT,asap,mixed,160,5,90.652286,19.828311,4.247333,22.29301,90.400839,19.82824,3.815569,0.085714,160,0,0,0.0
QFT,greedy_critical,mixed,160,5,90.652286,15.895914,2.819548,17.684901,92.52525,15.895912,3.857314,0.087992,160,0,0,0.0
VQE,asap,l1_l1,120,5,97.142857,2.453972,0.828469,12.121231,65.85393,2.454075,3.88024,0.008982,120,0,0,0.0
VQE,greedy_critical,l1_l1,120,5,97.142857,0.0,0.0,0.0,0.0,0.0,3.97546,0.003067,20,100,0,2e-06
VQE,asap,l2_l2,120,5,97.142857,7.012199,2.334626,31.884052,75.305775,7.012207,3.692308,0.037037,120,0,0,0.0
VQE,greedy_critical,l2_l2,120,5,97.142857,0.0,0.0,15.942031,0.0,0.0,3.95122,0.009146,55,65,0,0.0
VQE,asap,mixed,240,5,97.142857,4.281339,1.460558,20.895531,73.930094,4.281447,3.800587,0.02346,240,0,0,0.0
VQE,greedy_critical,mixed,240,5,97.142857,0.0,0.0,0.0,0.0,0.0,3.963303,0.006116,40,200,0,0.0
